Date,AAPL,AMZN,BAC,GLD,GOOGL,JNJ,JPM,MSFT,TSLA,XOM
2021-01-04,,,,,,,,,,
2021-01-05,,,,,,,,,,
2021-01-06,,,,,,,,,,
2021-01-07,,,,,,,,,,
2021-01-08,,,,,,,,,,
2021-01-11,,,,,,,,,,
2021-01-12,,,,,,,,,,
2021-01-13,,,,,,,,,,
2021-01-14,,,,,,,,,,
2021-01-15,,,,,,,,,,
2021-01-18,,,,,,,,,,
2021-01-19,,,,,,,,,,
2021-01-20,,,,,,,,,,
2021-01-21,,,,,,,,,,
2021-01-22,,,,,,,,,,
2021-01-25,,,,,,,,,,
2021-01-26,,,,,,,,,,
2021-01-27,,,,,,,,,,
2021-01-28,,,,,,,,,,
2021-01-29,,,,,,,,,,
2021-02-01,,,,,,,,,,
2021-02-02,,,,,,,,,,
2021-02-03,,,,,,,,,,
2021-02-04,,,,,,,,,,
2021-02-05,,,,,,,,,,
2021-02-08,,,,,,,,,,
2021-02-09,,,,,,,,,,
2021-02-10,,,,,,,,,,
2021-02-11,,,,,,,,,,
2021-02-12,25.71694292456289,26.798263728413747,22.274552175320935,12.061943294485875,20.683304853602802,17.826889591432167,23.303704095199855,25.049443191552207,65.14947569198412,28.30518459390375
2021-02-15,25.531118153009334,26.060805114257267,22.55652539542328,11.802031444688714,22.37619588077982,17.9556069043357,23.39343268485252,23.065343613208146,63.36889828025567,28.461512393503895
2021-02-16,27.737460751361787,23.990946672011134,23.158687960946022,11.657345998669483,22.27381023009062,18.059927275798653,24.12976057311087,22.72435493636716,63.61522531809008,28.47094586347008
2021-02-17,27.408996447833868,22.91481337971876,23.85790311144156,12.142866539497001,21.068729953477806,16.580619211391337,24.034803231845274,22.800662184765038,64.15776253678585,28.44135969994636
2021-02-18,26.1719848488232,21.07857616949387,22.57712881912411,12.335145857068404,21.787678879209267,16.827364829957723,23.89772252668424,21.86462273406842,65.56769969663057,28.232724027798987
2021-02-19,26.78218695944531,21.168542005335865,22.163898532096248,12.316127548746856,22.096630705525236,16.478071592689638,23.711656448098292,22.683738430858984,60.684303201411225,29.072422593817134
2021-02-22,27.275306440742717,24.457881919559778,21.462949921666542,12.437122135945707,23.7015275852649,16.287506033126633,23.670640962876867,22.510155980245443,62.56540223589704,28.093965929539028
2021-02-23,25.550104924309068,23.5845311558685,20.209020214649463,12.777218004859526,23.65821045314112,15.715469439101208,25.603032580439262,22.79543664925474,62.08337309173064,27.059519382017616
2021-02-24,26.26385533067478,23.301390966478117,20.88115239786927,12.068002291730746,23.000388645258006,15.504357490666534,26.02913749266151,23.66828816903539,63.398889148900686,27.17834698849966
2021-02-25,26.705470834931976,29.689476040434048,20.881684919392328,11.413836256398971,22.680299243108664,16.378234932142423,27.1907334811017,24.021433422335218,62.795342590284605,27.020071835215308
2021-02-26,26.410519552053362,29.41620123413287,19.569799094030568,11.436329658510147,23.56500226220484,16.49802312331707,27.149596667797532,24.371432140925723,63.20258281425406,27.030628019397163
2021-03-01,27.116495937012193,30.009127576316118,18.004020055795024,11.50654916440171,24.614674196290014,16.257474137386104,26.78555949887335,24.38377768173442,63.62091391414375,26.730038897531795
2021-03-02,27.27676581297349,30.20723914164577,17.949035067304248,11.575788781287518,25.43765434332581,15.950425595952572,25.715204258131795,23.645632555740733,63.403129250908506,25.86564693286891
2021-03-03,27.11063367214897,32.9169955489889,19.312174285567327,11.566337580076262,27.95451778173255,15.953750180388655,26.39129131571955,22.402758593189674,62.75802750028482,25.292276538956767
2021-03-04,25.837494680070517,33.93706378372565,21.53596979674712,11.821731430801274,27.85409003929193,15.552196704032392,25.497869229943877,22.243793780443717,63.608298665700566,25.04488322797606
2021-03-05,25.49477267120058,34.93550099980979,21.19209352893372,11.892226807834,28.94721309676917,15.505248699744934,25.479304244017392,22.549090904972015,63.591405968038636,25.15022364715011
2021-03-08,25.548447811588996,35.52212611600076,20.990145739476446,11.731132841693634,28.98711870939467,15.447703204620181,25.997905768596603,22.55069653847054,63.251172907665655,24.6181865934856
2021-03-09,25.297034794167516,35.38765020846423,22.32694677411036,11.526545461444613,28.767633161779894,15.296551085738615,26.567339255492296,24.160865739115163,62.925828478590915,24.823397117766785
2021-03-10,26.102478692209836,35.73832134769723,22.816243287822967,11.979939688479064,28.341413155794047,15.29677418950642,25.04541441878056,24.92283296848746,63.57512536440405,24.78450365394109
